iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
PRT,Europe,Portugal,26/05/2021,846434,594,450.857,17022,1,1.286,83010.525,58.254,44.216,1669.362,0.098,0.126,1.12,,,,,,,,,49325,11595570,1137.188,4.837,39174,3.842,0.012,86.9,tests performed,5317986,3673808,1644155,68802,72612,52.15,36.03,16.12,7121,62.04,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864
CYP,Europe,Cyprus,26/05/2021,72159,69,89.429,357,0,1.286,82382.786,78.776,102.099,407.581,0,1.468,0.5,,,,,,,,,41776,6757254,7714.65,47.695,55566,63.439,0.002,621.3,tests performed,560664,376676,183988,,12092,64.01,43,21.01,13805,,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
ARG,South America,Argentina,26/05/2021,3622135,35399,30139.286,75588,532,474.714,80143.218,783.237,666.861,1672.457,11.771,10.504,1.1,,,,,,,,,,,,,,,,,,11331066,8878491,2452575,88857,135306,25.07,19.64,5.43,2994,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845
CHE,Europe,Switzerland,26/05/2021,691119,996,880.714,10789,3,4.714,79855.518,115.083,101.762,1246.618,0.347,0.545,0.94,,,,,,,,,28530,7192643,831.076,3.297,25125,2.903,0.037,27,tests performed,4521540,2906974,1614566,107222,73937,52.24,33.59,18.66,8543,50.93,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
URY,South America,Uruguay,26/05/2021,276435,4576,3867.143,4022,49,54.857,79578.792,1317.317,1113.255,1157.834,14.106,15.792,1.13,,,,,,,,,21368,2165339,623.347,6.151,17245,4.964,0.224,4.5,tests performed,2667651,1677887,989764,66632,31822,76.8,48.3,28.49,9161,,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817
LBN,Asia,Lebanon,26/05/2021,539271,280,318.286,7697,7,6.571,79008.949,41.023,46.632,1127.693,1.026,0.963,0.68,,,,,,,,,13531,4342606,636.238,1.982,14421,2.113,,,tests performed,715286,479863,235423,33190,11944,10.48,7.03,3.45,1750,,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LIE,Europe,Liechtenstein,26/05/2021,3002,0,1.286,58,0,0,78716.207,0,33.713,1520.833,0,0,0.74,,,,,,,,,257,45825,1201.589,6.739,199,5.218,0.012,83.3,tests performed,20184,12245,7939,547,315,52.92,32.11,20.82,8260,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
ESP,Europe,Spain,26/05/2021,3657886,5007,4565.429,79855,54,41,78235.547,107.091,97.646,1707.954,1.155,0.877,0.97,,,,,,,,,,,,,,,,,,25745178,17487591,8614678,464314,320299,55.06,37.4,18.43,6851,,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
BRA,South America,Brazil,26/05/2021,16274695,80486,66091.429,454429,2398,1819.714,76565.394,378.652,310.932,2137.892,11.282,8.561,1.01,,,,,,,,,,,,,,,,,,64568609,43239648,21328961,828052,1352814,30.38,20.34,10.03,6364,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
POL,Europe,Poland,26/05/2021,2868450,1263,1312.714,73305,209,150.714,75791.475,33.372,34.685,1936.898,5.522,3.982,0.51,,,,,,,,,57290,15340290,405.328,1.514,51654,1.365,0.025,39.3,people tested,18785240,13145222,6071067,395433,281653,49.64,34.73,16.04,7442,62.04,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
QAT,Asia,Qatar,26/05/2021,216397,306,321,552,3,2,75110.202,106.211,111.417,191.596,1.041,0.694,0.89,,,,,,,,,3922,2005869,696.226,1.361,3504,1.216,0.092,10.9,people tested,2403165,1381456,1021709,37518,36059,83.41,47.95,35.46,12516,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
ARM,Asia,Armenia,26/05/2021,222269,130,128.714,4411,11,7.714,75008.926,43.871,43.437,1488.576,3.712,2.603,0.63,,,,,,,,,3901,1069112,360.792,1.316,3238,1.093,0.04,25.2,tests performed,,,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
MKD,Europe,North Macedonia,26/05/2021,155117,46,32.286,5356,14,15.286,74454.492,22.08,15.497,2570.822,6.72,7.337,0.42,,,,,,,,,,,,,2418,1.161,0.013,74.9,tests performed,267167,,42831,,6741,12.82,,2.06,3236,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774
JOR,Asia,Jordan,26/05/2021,731436,0,714.857,9384,0,12.714,71687.343,0,70.062,919.717,0,1.246,0.7,,,,,,,,,20491,7182844,703.984,2.008,21168,2.075,0.034,29.6,tests performed,1750000,1300000,450000,,41256,17.15,12.74,4.41,4043,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
AUT,Europe,Austria,26/05/2021,642583,445,504.143,10566,15,8.286,71347.375,49.409,55.976,1173.166,1.665,0.92,0.66,,,,,,,,,442992,39914510,4431.794,49.186,382447,42.464,0.001,758.6,tests performed,4782132,3456863,1353393,90550,67604,53.1,38.38,15.03,7506,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
SVK,Europe,Slovakia,26/05/2021,389176,190,148.286,12312,11,7.143,71282.316,34.801,27.16,2255.093,2.015,1.308,0.67,,,,,,,,,65881,38090509,6976.74,12.067,87180,15.968,0.004,250,tests performed,2439359,1656724,782635,23726,34594,44.68,30.34,14.33,6336,,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
KWT,Asia,Kuwait,26/05/2021,303039,1176,1192.286,1751,5,6.857,70959.965,275.374,279.187,410.016,1.171,1.606,1.06,,,,,,,,,10309,2556150,598.551,2.414,9875,2.312,0.121,8.3,tests performed,,,,,,,,,,,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806
CHL,South America,Chile,26/05/2021,1344618,5197,6284.143,28624,39,89.571,70339.156,271.864,328.734,1497.368,2.04,4.686,1.07,,,,,,,,,32389,14458694,756.358,1.694,54621,2.857,,,tests performed,18031133,10166461,7864672,226178,134371,94.32,53.18,41.14,7029,,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
LVA,Europe,Latvia,26/05/2021,131910,396,373.286,2348,6,7.143,69934.185,209.946,197.903,1244.83,3.181,3.787,0.83,,,,,,,,,12790,2565288,1360.028,6.781,12000,6.362,0.031,32.1,tests performed,675126,469274,218512,20047,15030,35.79,24.88,11.58,7968,,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866
ITA,Europe,Italy,26/05/2021,4201827,3935,4186,125622,121,139.429,69495.534,65.082,69.234,2077.708,2.001,2.306,0.69,,,,,,,,,260962,65179575,1078.029,4.316,229695,3.799,0.018,54.9,tests performed,32425321,21996762,10931320,511841,493641,53.63,36.38,18.08,8165,68.52,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
MLT,Europe,Malta,26/05/2021,30516,7,3.857,419,1,0.286,69112.808,15.854,8.736,948.954,2.265,0.647,0.75,,,,,,,,,2080,916149,2074.899,4.711,1969,4.459,0.002,510.5,tests performed,498726,311903,195856,8202,7557,112.95,70.64,44.36,17115,,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
